Received by learning locker;;;;;;;;Send by external device;;;;;;;;;
Date;Hour;Min;Sec.Miliseconds(Formated);Seconds;Miliseconds;;;Hour:Min:sec:ms;Hours;Min;Sec;Miliseconds;;;;;Miliseconds difference
10/12/2021;13;6;31.223Z;31;223;;;14:6:31:78;14;6;31;78;;;;;145
10/12/2021;13;6;31.106Z;31;106;;;14:6:30:960;14;6;30;960;;;;;146
10/12/2021;13;6;30.988Z;30;988;;;14:6:30:843;14;6;30;843;;;;;145
10/12/2021;13;6;30.869Z;30;869;;;14:6:30:724;14;6;30;724;;;;;145
10/12/2021;13;6;30.751Z;30;751;;;14:6:30:610;14;6;30;610;;;;;141
10/12/2021;13;6;30.632Z;30;632;;;14:6:30:489;14;6;30;489;;;;;143
10/12/2021;13;6;30.515Z;30;515;;;14:6:30:378;14;6;30;378;;;;;137
10/12/2021;13;6;30.409Z;30;409;;;14:6:30:268;14;6;30;268;;;;;141
10/12/2021;13;6;30.298Z;30;298;;;14:6:30:157;14;6;30;157;;;;;141
10/12/2021;13;6;30.185Z;30;185;;;14:6:30:39;14;6;30;39;;;;;146
10/12/2021;13;6;30.067Z;30;67;;;14:6:29:922;14;6;29;922;;;;;145
10/12/2021;13;6;29.950Z;29;950;;;14:6:29:805;14;6;29;805;;;;;145
10/12/2021;13;6;29.833Z;29;833;;;14:6:29:695;14;6;29;695;;;;;138
10/12/2021;13;6;29.726Z;29;726;;;14:6:29:581;14;6;29;581;;;;;145
10/12/2021;13;6;29.609Z;29;609;;;14:6:29:463;14;6;29;463;;;;;146
10/12/2021;13;6;29.491Z;29;491;;;14:6:29:345;14;6;29;345;;;;;146
10/12/2021;13;6;29.373Z;29;373;;;14:6:29:228;14;6;29;228;;;;;145
10/12/2021;13;6;29.256Z;29;256;;;14:6:29:116;14;6;29;116;;;;;140
10/12/2021;13;6;29.146Z;29;146;;;14:6:28:988;14;6;28;988;;;;;158
10/12/2021;13;6;29.016Z;29;16;;;14:6:28:871;14;6;28;871;;;;;145
10/12/2021;13;6;28.899Z;28;899;;;14:6:28:758;14;6;28;758;;;;;141
10/12/2021;13;6;28.791Z;28;791;;;14:6:28:648;14;6;28;648;;;;;143
10/12/2021;13;6;28.680Z;28;680;;;14:6:28:532;14;6;28;532;;;;;148
10/12/2021;13;6;28.560Z;28;560;;;14:6:28:423;14;6;28;423;;;;;137
10/12/2021;13;6;28.455Z;28;455;;;14:6:28:314;14;6;28;314;;;;;141
10/12/2021;13;6;28.345Z;28;345;;;14:6:28:199;14;6;28;199;;;;;146
10/12/2021;13;6;28.227Z;28;227;;;14:6:28:91;14;6;28;91;;;;;136
10/12/2021;13;6;28.092Z;28;92;;;14:6:27:951;14;6;27;951;;;;;141
10/12/2021;13;6;27.979Z;27;979;;;14:6:27:833;14;6;27;833;;;;;146
10/12/2021;13;6;27.860Z;27;860;;;14:6:27:723;14;6;27;723;;;;;137
10/12/2021;13;6;27.754Z;27;754;;;14:6:27:613;14;6;27;613;;;;;141
10/12/2021;13;6;27.641Z;27;641;;;14:6:27:412;14;6;27;412;;;;;229
10/12/2021;13;6;27.443Z;27;443;;;14:6:27:298;14;6;27;298;;;;;145
10/12/2021;13;6;27.325Z;27;325;;;14:6:27:181;14;6;27;181;;;;;144
10/12/2021;13;6;27.214Z;27;214;;;14:6:27:70;14;6;27;70;;;;;144
10/12/2021;13;6;27.098Z;27;98;;;14:6:26:954;14;6;26;954;;;;;144
10/12/2021;13;6;26.982Z;26;982;;;14:6:26:840;14;6;26;840;;;;;142
10/12/2021;13;6;26.862Z;26;862;;;14:6:26:717;14;6;26;717;;;;;145
10/12/2021;13;6;26.745Z;26;745;;;14:6:26:600;14;6;26;600;;;;;145
10/12/2021;13;6;26.628Z;26;628;;;14:6:26:482;14;6;26;482;;;;;146
10/12/2021;13;6;26.510Z;26;510;;;14:6:26:365;14;6;26;365;;;;;145
10/12/2021;13;6;26.393Z;26;393;;;14:6:26:248;14;6;26;248;;;;;145
10/12/2021;13;6;26.276Z;26;276;;;14:6:26:130;14;6;26;130;;;;;146
10/12/2021;13;6;26.158Z;26;158;;;14:6:26:12;14;6;26;12;;;;;146
10/12/2021;13;6;26.040Z;26;40;;;14:6:25:897;14;6;25;897;;;;;143
10/12/2021;13;6;25.927Z;25;927;;;14:6:25:786;14;6;25;786;;;;;141
10/12/2021;13;6;25.813Z;25;813;;;14:6:25:666;14;6;25;666;;;;;147
10/12/2021;13;6;25.694Z;25;694;;;14:6:25:547;14;6;25;547;;;;;147
10/12/2021;13;6;25.574Z;25;574;;;14:6:25:431;14;6;25;431;;;;;143
10/12/2021;13;6;25.459Z;25;459;;;14:6:25:321;14;6;25;321;;;;;138
10/12/2021;13;6;25.350Z;25;350;;;14:6:25:203;14;6;25;203;;;;;147
10/12/2021;13;6;25.230Z;25;230;;;14:6:25:89;14;6;25;89;;;;;141
10/12/2021;13;6;25.115Z;25;115;;;14:6:24:974;14;6;24;974;;;;;141
10/12/2021;13;6;25.002Z;25;2;;;14:6:24:851;14;6;24;851;;;;;151
10/12/2021;13;6;24.883Z;24;883;;;14:6:24:737;14;6;24;737;;;;;146
10/12/2021;13;6;24.765Z;24;765;;;14:6:24:615;14;6;24;615;;;;;150
10/12/2021;13;6;24.643Z;24;643;;;14:6:24:498;14;6;24;498;;;;;145
10/12/2021;13;6;24.526Z;24;526;;;14:6:24:381;14;6;24;381;;;;;145
10/12/2021;13;6;24.409Z;24;409;;;14:6:24:266;14;6;24;266;;;;;143
10/12/2021;13;6;24.293Z;24;293;;;14:6:24:148;14;6;24;148;;;;;145
10/12/2021;13;6;24.176Z;24;176;;;14:6:24:31;14;6;24;31;;;;;145
10/12/2021;13;6;24.057Z;24;57;;;14:6:23:912;14;6;23;912;;;;;145
10/12/2021;13;6;23.939Z;23;939;;;14:6:23:793;14;6;23;793;;;;;146
10/12/2021;13;6;23.821Z;23;821;;;14:6:23:677;14;6;23;677;;;;;144
10/12/2021;13;6;23.705Z;23;705;;;14:6:23:559;14;6;23;559;;;;;146
10/12/2021;13;6;23.587Z;23;587;;;14:6:23:439;14;6;23;439;;;;;148
10/12/2021;13;6;23.467Z;23;467;;;14:6:23:326;14;6;23;326;;;;;141
10/12/2021;13;6;23.349Z;23;349;;;14:6:23:204;14;6;23;204;;;;;145
10/12/2021;13;6;23.232Z;23;232;;;14:6:23:87;14;6;23;87;;;;;145
10/12/2021;13;6;23.115Z;23;115;;;14:6:22:968;14;6;22;968;;;;;147
10/12/2021;13;6;22.995Z;22;995;;;14:6:22:850;14;6;22;850;;;;;145
10/12/2021;13;6;22.878Z;22;878;;;14:6:22:733;14;6;22;733;;;;;145
10/12/2021;13;6;22.761Z;22;761;;;14:6:22:614;14;6;22;614;;;;;147
10/12/2021;13;6;22.641Z;22;641;;;14:6:22:495;14;6;22;495;;;;;146
10/12/2021;13;6;22.523Z;22;523;;;14:6:22:377;14;6;22;377;;;;;146
10/12/2021;13;6;22.405Z;22;405;;;14:6:22:261;14;6;22;261;;;;;144
10/12/2021;13;6;22.289Z;22;289;;;14:6:22:144;14;6;22;144;;;;;145
10/12/2021;13;6;22.172Z;22;172;;;14:6:22:27;14;6;22;27;;;;;145
10/12/2021;13;6;22.055Z;22;55;;;14:6:21:910;14;6;21;910;;;;;145
10/12/2021;13;6;21.937Z;21;937;;;14:6:21:793;14;6;21;793;;;;;144
10/12/2021;13;6;21.821Z;21;821;;;14:6:21:672;14;6;21;672;;;;;149
10/12/2021;13;6;21.701Z;21;701;;;14:6:21:470;14;6;21;470;;;;;231
